직원번호,부서명,직급,근무년수,월급여,프로젝트수,성과점수,교육시간,퇴사여부,입사일,마지막평가일,특이사항
EMP001,개발팀,대리,3,4500000,5,85,40,재직,2022-03-15,2025-01-15,우수
EMP002,마케팅팀,과장,7,5500000,3,78,25,재직,2018-01-10,2025-01-15,보통
EMP003,영업팀,부장,12,7000000,8,92,15,재직,2013-06-01,2025-01-15,우수
EMP004,인사팀,대리,2,4200000,2,65,50,재직,2023-02-20,2025-01-15,개선필요
EMP005,개발팀,팀장,8,6500000,6,88,30,재직,2017-04-01,2025-01-15,우수
EMP006,마케팅팀,대리,4,4800000,4,72,35,재직,2021-08-15,2025-01-15,보통
EMP007,영업팀,과장,6,5800000,7,81,20,재직,2019-03-01,2025-01-15,보통
EMP008,인사팀,팀장,10,6200000,3,75,45,재직,2015-01-15,2025-01-15,보통
EMP009,개발팀,대리,1,4000000,1,58,60,재직,2024-01-10,2025-01-15,신입
EMP010,마케팅팀,부장,15,7500000,9,95,10,재직,2010-05-01,2025-01-15,최우수
EMP011,영업팀,대리,3,4600000,3,69,40,재직,2022-07-01,2025-01-15,보통
EMP012,인사팀,과장,5,5200000,2,71,30,재직,2020-02-01,2025-01-15,보통
EMP013,개발팀,과장,6,5600000,5,83,25,재직,2019-06-01,2025-01-15,우수
EMP014,마케팅팀,대리,2,4300000,2,67,45,재직,2023-03-01,2025-01-15,개선필요
EMP015,영업팀,팀장,9,6800000,8,89,15,재직,2016-01-01,2025-01-15,우수
EMP016,인사팀,대리,4,4700000,3,73,35,재직,2021-01-15,2025-01-15,보통
EMP017,개발팀,부장,11,7200000,7,91,20,재직,2014-08-01,2025-01-15,우수
EMP018,마케팅팀,과장,8,5900000,6,79,25,재직,2017-02-01,2025-01-15,보통
EMP019,영업팀,대리,5,4900000,4,76,30,재직,2020-05-01,2025-01-15,보통
EMP020,인사팀,팀장,13,6400000,4,77,40,재직,2012-03-01,2025-01-15,보통
