날짜,제품명,카테고리,판매량,단가,총매출,지역,고객등급
2024-01-15,노트북,전자제품,5,1200000,6000000,서울,프리미엄
2024-01-16,스마트폰,전자제품,12,800000,9600000,부산,일반
2024-01-17,태블릿,전자제품,8,600000,4800000,대구,프리미엄
2024-01-18,무선이어폰,전자제품,25,150000,3750000,인천,일반
2024-01-19,스마트워치,전자제품,15,300000,4500000,광주,프리미엄
2024-01-20,노트북,전자제품,3,1200000,3600000,대전,일반
2024-01-21,스마트폰,전자제품,18,800000,14400000,서울,프리미엄
2024-01-22,태블릿,전자제품,7,600000,4200000,부산,일반
2024-01-23,무선이어폰,전자제품,30,150000,4500000,대구,프리미엄
2024-01-24,스마트워치,전자제품,12,300000,3600000,인천,일반
2024-01-25,노트북,전자제품,4,1200000,4800000,광주,프리미엄
2024-01-26,스마트폰,전자제품,20,800000,16000000,대전,일반
2024-01-27,태블릿,전자제품,6,600000,3600000,서울,프리미엄
2024-01-28,무선이어폰,전자제품,22,150000,3300000,부산,일반
2024-01-29,스마트워치,전자제품,10,300000,3000000,대구,프리미엄
2024-01-30,노트북,전자제품,6,1200000,7200000,인천,일반
2024-02-01,스마트폰,전자제품,16,800000,12800000,광주,프리미엄
2024-02-02,태블릿,전자제품,9,600000,5400000,대전,일반
2024-02-03,무선이어폰,전자제품,28,150000,4200000,서울,프리미엄
2024-02-04,스마트워치,전자제품,14,300000,4200000,부산,일반
2024-02-05,노트북,전자제품,2,1200000,2400000,대구,프리미엄
2024-02-06,스마트폰,전자제품,24,800000,19200000,인천,일반
2024-02-07,태블릿,전자제품,11,600000,6600000,광주,프리미엄
2024-02-08,무선이어폰,전자제품,35,150000,5250000,대전,일반
2024-02-09,스마트워치,전자제품,8,300000,2400000,서울,프리미엄
2024-02-10,노트북,전자제품,7,1200000,8400000,부산,일반
2024-02-11,스마트폰,전자제품,19,800000,15200000,대구,프리미엄
2024-02-12,태블릿,전자제품,13,600000,7800000,인천,일반
2024-02-13,무선이어폰,전자제품,32,150000,4800000,광주,프리미엄
2024-02-14,스마트워치,전자제품,17,300000,5100000,대전,일반
